Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC),CNAME,A,NS
839496,2013-05-08 06:57:40,www.sogeti.com,www.sogeti.com,[],http,1.0,up,2025-05-05 08:33:01,sogeti.com.,192.0.66.24,dns1.p01.nsone.net.;dns3.p01.nsone.net.;dns4.p01.nsone.net.;dns2.p01.nsone.net.
839538,2013-05-08 06:58:00,www.ansa.no,www.ansa.no,[],http,1.0,up,2025-05-05 08:33:31,ansa.no.,68.183.243.187,ns01.no.brand.one.com.;ns02.no.brand.one.com.
1038101,2013-11-25 09:00:40,www.krisinformation.se,www.krisinformation.se,[],http,1.0,up,2025-05-05 08:33:47,krisinformation.se.edgekey.net.,118.69.16.221;118.69.16.213,
1043176,2013-11-29 08:32:18,www.collyflowtech.se,www.collyflowtech.se,[],http,,up,2025-05-05 08:33:34,,162.159.135.42,
1048481,2013-12-04 09:50:49,www.diakonia.se,www.diakonia.se,[],http,,paused,2024-09-12 01:00:52,cname.vercel-dns.com.,76.76.21.123;66.33.60.193,
1061530,2013-12-17 13:12:05,www.langhamhotels.com,www.langhamhotels.com,[],http,,paused,2025-03-24 13:38:28,ccdn.langham.edgekey.net.,23.202.89.89;23.202.89.97,
1062152,2013-12-17 20:36:14,www.dios.se,www.dios.se,[],http,1.0,up,2025-05-05 08:33:32,,217.68.41.121,
1100661,2014-01-30 03:57:58,www.sverigetarmatchen.se,www.sverigetarmatchen.se,[],http,,paused,2024-09-07 01:53:02,,217.114.93.12,
2158378,2016-05-24 10:14:41,www.metalliskamaterial.se,www.metalliskamaterial.se,"[""epwsweb103""]",http,,up,2025-05-05 08:33:38,,217.114.92.202,
1100705,2014-01-30 05:26:06,www.bostadsbolaget.vastervik.se,www.bostadsbolaget.vastervik.se,[],http,1.0,up,2025-05-05 08:33:10,,217.114.80.178,
1110725,2014-02-07 09:05:46,www.introduce.se,www.introduce.se,[],http,1.0,up,2025-05-05 08:33:20,,217.114.87.170,
1172837,2014-03-31 23:42:26,www.ieo.it,www.ieo.it,"[""everweb"",""ieo"",""ieoweb01"",""ieoweb02""]",http,,up,2025-05-05 08:33:23,www.ieo.it.cdn.cloudflare.net.,104.18.23.178;104.18.22.178,
1442036,2014-12-05 10:11:37,www.saarioinen.fi,www.saarioinen.fi,[],http,,up,2025-05-05 08:33:02,,217.114.93.109,
1442039,2014-12-05 10:14:31,www.lif.se,www.lif.se,[],http,,up,2025-05-05 08:33:51,,217.114.93.221,
1442361,2014-12-05 15:33:16,www.edschats.com,www.edschats.com,[],http,,up,2025-05-05 08:33:01,,217.114.93.150,
1442382,2014-12-05 15:49:21,www.folkbildning.net,www.folkbildning.net,"[""rioweb01""]",http,,paused,2024-07-17 11:37:13,,104.21.2.27;172.67.128.158,
6210862,2020-06-18 07:32:05,www.giftinformation.se,www.giftinformation.se,[],http,1.0,up,2025-05-05 08:33:38,,217.114.93.133,
1551738,2015-03-27 15:07:18,nuget.episerver.com,nuget.episerver.com,[],http,,up,2025-05-05 08:33:51,,217.114.85.46,
1561793,2015-04-08 02:11:18,www.c4energi.se,www.c4energi.se,"[""epwsweb101""]",http,,paused,2025-01-24 14:57:25,,213.212.8.84,
1583292,2015-04-29 04:25:01,www.byggvarubedomningen.se,www.byggvarubedomningen.se,[],http,1.0,paused,2024-09-11 22:10:26,app-bvbcms-prod-sdc.azurewebsites.net.,51.12.31.7,
1588668,2015-05-05 08:14:39,bluebuffalo.com,bluebuffalo.com,"[""azurevm""]",http,,up,2025-05-05 08:33:46,,104.26.5.63;172.67.69.223;104.26.4.63,igor.ns.cloudflare.com.;gail.ns.cloudflare.com.
1621447,2015-06-05 11:59:25,www.varma.fi,www.varma.fi,"[""varmaweb01""]",http,,up,2025-05-05 08:33:58,,217.114.93.174,
1635549,2015-06-18 14:43:26,bbapi.bluebuffalo.com,bbapi.bluebuffalo.com,"[""azurevm""]",http,,up,2025-05-05 08:33:29,bluebuffalo.com.,172.183.165.210,igor.ns.cloudflare.com.;gail.ns.cloudflare.com.
1635553,2015-06-18 14:44:02,bbcdb.bluebuffalo.com,bbcdb.bluebuffalo.com,"[""azurevm""]",http,1.0,up,2025-05-05 08:32:58,bluebuffalo.com.,172.183.165.210,igor.ns.cloudflare.com.;gail.ns.cloudflare.com.
1642711,2015-06-25 12:05:57,www.audifinans.no,www.audifinans.no,"[""volkswagenweb01""]",http,,paused,2024-03-08 12:12:57,,217.114.93.203,
1642712,2015-06-25 12:07:00,www.skodafinans.no,www.skodafinans.no,[],http,,paused,2024-03-08 12:13:43,,217.114.93.203,
1642717,2015-06-25 12:08:29,www.volkswagenfinans.no,www.volkswagenfinans.no,"[""volkswagenweb01""]",http,,paused,2024-03-08 12:13:04,,217.114.93.203,
