Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC),CNAME,A,NS
13585130,2024-09-30 16:59:11,www.psychroapp.co.uk || munt01mstr2en961prod,www.psychroapp.co.uk,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_munt"",""munt01mstr2en961prod"",""cluster_munt01mstr2en961prod""]",http,1.0,paused,,www.psychroapp.co.uk.dxcloud.episerver.net.,104.18.34.126;172.64.153.130,
13585136,2024-09-30 16:59:33,www.muntersdrive.com || munt01mstr2en961prod,www.muntersdrive.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_munt"",""munt01mstr2en961prod"",""cluster_munt01mstr2en961prod""]",http,1.0,paused,,www.muntersdrive.com.dxcloud.episerver.net.,104.18.32.72;172.64.155.184,
13585139,2024-09-30 16:59:52,www.lowdewpoint.com || munt01mstr2en961prod,www.lowdewpoint.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_munt"",""munt01mstr2en961prod"",""cluster_munt01mstr2en961prod""]",http,1.0,paused,,www.lowdewpoint.com.dxcloud.episerver.net.,104.18.43.221;172.64.144.35,
13585140,2024-09-30 16:59:52,www.turbovent.dk || munt01mstr2en961prod,www.turbovent.dk,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_munt"",""munt01mstr2en961prod"",""cluster_munt01mstr2en961prod""]",http,1.0,paused,,www.turbovent.dk.dxcloud.episerver.net.,104.18.42.89;172.64.145.167,
13587505,2024-10-01 21:59:18,www.freudenberg-pm.com || fido01mstrret12prod,www.freudenberg-pm.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""fido01mstrret12prod"",""cluster_fido01mstrret12prod"",""customer_fido""]",http,1.0,paused,,,20.4.129.6,
13587670,2024-10-02 02:34:12,portal.trioworld.com || trin01mstr36obfprod,portal.trioworld.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""trin01mstr36obfprod"",""cluster_trin01mstr36obfprod"",""customer_trin""]",http,1.0,paused,,portal.trioworld.com.dxcloud.episerver.net.,104.18.41.185;172.64.146.71,
13591123,2024-10-03 21:59:21,my-en.portakabin-group.com || poka02mstre0o0bprod,my-en.portakabin-group.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_poka"",""poka02mstre0o0bprod"",""cluster_poka02mstre0o0bprod""]",http,1.0,paused,,,81.19.187.140,ns2.webcertain.com.;ns1.webcertain.com.
13591126,2024-10-03 21:59:29,my-fr.portakabin-group.com || poka02mstre0o0bprod,my-fr.portakabin-group.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_poka"",""poka02mstre0o0bprod"",""cluster_poka02mstre0o0bprod""]",http,1.0,paused,,,81.19.187.140,ns2.webcertain.com.;ns1.webcertain.com.
13591128,2024-10-03 21:59:30,my.portakabin.lu || poka02mstre0o0bprod,my.portakabin.lu,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_poka"",""poka02mstre0o0bprod"",""cluster_poka02mstre0o0bprod""]",http,1.0,paused,,,81.19.187.140,ns2.webcertain.com.;ns1.webcertain.com.
13591129,2024-10-03 21:59:35,my-de.portakabin.lu || poka02mstre0o0bprod,my-de.portakabin.lu,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_poka"",""poka02mstre0o0bprod"",""cluster_poka02mstre0o0bprod""]",http,1.0,paused,,,81.19.187.140,ns2.webcertain.com.;ns1.webcertain.com.
13591132,2024-10-03 21:59:44,my-nl.portakabin-group.com || poka02mstre0o0bprod,my-nl.portakabin-group.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_poka"",""poka02mstre0o0bprod"",""cluster_poka02mstre0o0bprod""]",http,1.0,paused,,,81.19.187.140,ns1.webcertain.com.;ns2.webcertain.com.
